Institute;Continent;Country;University;StudyPeriod;Language;AcademicQuality;SocialQuality;ResidentialQuality;ReceptionQuality;Link;Subjects
AB-BKFF - Institutt for byggekunst, form og farge;Oceania;Australia;Bond University;2011;Engelsk;4;9;9;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10068;International Contracts!International Financial System!Legal Aspects of Busines Acquisitions
SVT-PSY - Psykologisk institutt;Oceania;Australia;University Of Western Sydney;2001;Engelsk;6;9;6;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1007;B1910 Psychology 1B!B2903 Personality!B3903 Abnormal and Counselling Psychology
IVT-BAT - Institutt for bygg, anlegg og transport;Europe;Nederland;Technische Universiteit Eindhoven;2011;Engelsk;9;8;7;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10070;Legal and Governance Aspects!Aluminium Structures!Preliminary design of high-rise structures!Housing strategies!Masterproject High-rise Structures
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Tyskland;Albert-Ludwigs Universität;2011;Tysk;9;7;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10071;Gynekologi!Geriatri!Naturmedisin og rehabilitering!Pediatri
NT-IFY - Institutt for fysikk;Asia;Singapore;National University Of Singapore ;2012;Engelsk;5;7;9;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10073;Quantum Mechanics 3!Computational Fluid Mechanics!Surface Physics!Nuclear and Particle Physics
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of Dundee;1999;Engelsk;6;10;6;5;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10075;Child Health!Obs and Gynea!Surgery2 (Akutt med, orto, reuma)!Medicine3 
AB-BKFF - Institutt for byggekunst, form og farge;South America;Chile;PUCV;2012;Chilensk;7;10;4;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10076;Taller8 (studentboligprosjekt)!Amereida!Cultura del Cuerpo!Plastica (Samtidskunst)
SVT-PSY - Psykologisk institutt;Oceania;Australia;University Of Western Sydney;2001;Engelsk;7;8;8;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1008;B1910 Psychology 1B!B2903 Personality!B3903 Abnormal and Counselling
IME-ELKRAFT - Institutt for elkraftteknikk;Europe;Frankrike;Inp Grenoble;2011;Fransk;4;9;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10081;Développement personnel!Economie et société!Projet intégrateur !Projet transversal !Conduite et Sûreté!Nouvelles Technologies d'Information pour l'Energie!ngénierie Financière et Marchés de l'Energie
NT-IBI - Institutt for biologi;Europe;Tyskland;Technische Universität Dresden;2011;Tysk;7;8;8;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10082;Hydrobiologisches seminar (5 ECTS)!Vertieferung Ökotoxikoligie (5 ECTS)!Hydrobiologiesche techniken (5 ECTS)!Ausgewandte statistik (5 ECTS)!Deustch als Fremdsprache (6 ECTS)!Deutsch Fachsprachlich seminar (4 ECTS)
SVT-ISS - Institutt for sosiologi og statsvitenskap;Europe;Spania;Universidad De Granada;2012;Spansk;4;6;4;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10084;Antropologia de religion!Antropologia de politica!Antropologia de genero!Nacionalismo y estado!Introduccion a la sociologia!Antropologia y evolucio!Geografia!Historia de america y prehispanica
SVT-PSY - Psykologisk institutt;Oceania;Australia;Bond University;2000;Engelsk;9;8;9;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1009;Interpersonal and Group skills!Applied Psychology!Independent Topic!Industrial and organisational Psychology
HF-IKM - Institutt for kunst- og medievitenskap;Europe;Østerrike;Fhv, Vorarlberg University Of Applied Sciences;2011;Engelsk;9;10;9;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10098;robotics and assembly tech.!computer applications!production management!focus mechanical eng.!Mechatronics pro. 5!German level 2
SVT-PSY - Psykologisk institutt;Asia;India;Kerala University;2001;Engelsk;8;4;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1010;Sosial psykologi
AB-BKFF - Institutt for byggekunst, form og farge;North America;USA;University Of Minnesota;2011;Engelsk;8;7;10;4;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10107;IE5513 Engineering Safety!IE5511 Human Factors!OMS3059 Quality Mgmt and Lean Six Sigma
NT-IFY - Institutt for fysikk;Oceania;Australia;University Of New South Wales;2001;Engelsk;7;9;7;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1011;Biometry(statistikk)!Biochemistry!Quantum Physics!Medical Imaging!Physics Research Project
AB-BKFF - Institutt for byggekunst, form og farge;North America;USA;Uc Berkeley;2012;Engelsk;6;8;6;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10111;Kinetics!Process Design!Process Control!Tech, Communication!Polymer!Num, Diff
HF-IM - Institutt for musikk;Oceania;Australia;Queensland University Of Technology;2012;Engelsk;8;9;8;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10112;EFB223Economics2 !ENB336 Industrial Engineering!AMB240 Marketing Planning and Management!MGB335 Project Management!ENB242 Introduction to telecommunicatoins!MAB315 Operations Reasearch 2!MGB331 Learning and Development in Organizations!Enda uvisst, måtte endre fagplanen
AB-BKFF - Institutt for byggekunst, form og farge;Oceania;Australia;Griffith University;2011;Engelsk;6;6;2;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10113;Human Rights in World Politics!IR Theory!American Foreign Policy!Sociology of Identity
SVT-GEO - Geografisk institutt;Europe;Danmark;Københavns Universitet;2011;Ukjent;8;7;9;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10116;Socialpsykologi II!Utviklingspsykopatologi!Forebyggelse og Sundhedsfremme (ved det Sundhedsvidenskabelige fakultet)!Semesteroppgave i Sosialpsykologi (ved UiB, fjernveiledning)
HF-IM - Institutt for musikk;North America;USA;University Of California, San Diego;2012;Engelsk;6;7;9;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10122;MAE101C Heat Transfer!MATH180A Introduction to Probability!ECON100B Microeconomics B!MGT164 Organizational Leadership
SVT-GEO - Geografisk institutt;Africa;Sør Afrika;Applied Geology;2011;Engelsk;6;8;4;0;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10124;APG322!APG321
IVT-IMT - Institutt for marin teknikk;Europe;Østerrike;FHV;2011;Engelsk;9;10;10;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10129;Focus mechanical engineering!computer applications!robotics and assembly technologies!mechatronics project 5!engineering design/CAD!German culture and communication
SVT-GEO - Geografisk institutt;Europe;Nederland;Tu Delft;2001;Engelsk;8;8;10;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1013;A2!AB
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of Dundee;2011;Engelsk;6;9;9;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10130;child health!obstetric/gynaecology!rheumatology!orthopaedics!acute care!anaesthesia
SVT-PED - Pedagogisk institutt;North America;USA;University Of North Dakota;2011;Engelsk;9;8;8;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10133;Psykiatri!Nefrologi!Urologi!Radiologi!Endokrinologi!Pediatri!Akuttmedisin!Allmenmedisin
SVT-IOT - Institutt for industriell økonomi og teknologiledelse;Asia;Kina;University Of Hong Kong;2012;Engelsk;7;9;7;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10134;BUSI1004 Marketing!MECH1314 Materials for engineering applications!ECON1001 Introduction to economics!MATH2901 Operation Research I!STAT1301 Probability and statistics I!BUSI1005 Organizational behaviour!FINA1003 Corporate finance!MECH2008 Mechanics of fluids
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;York St. John University;2011;Engelsk;5;8;6;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10135;Music Technique!Music In Context!VOX
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Finland;Aalto Universistetet;2012;Engelsk;8;9;6;7;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10136;Wood program special project!Introduction to wood products and properties!Wood in Architecture and construction!History of finnish architecture!Industrial wood construction
IVT-IPK - Institutt for produksjons- og kvalitetsteknikk;South America;Brazil;PUC;2012;Portugisisk;6;6;7;5;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10137;Risikostyring i prosjekter!Produksjonslogistikk!Produksjonsstrategi!Kvalitets- og prestasjonsfokusert ledelse!CI i intelligent produksjon!Ind. systemdesign!Driftssikkerhetsstyring
HF-IHS - Institutt for historiske studier;Europe;Østerrike;Fh Vorarlberg;2011;Engelsk;9;7;10;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10138;Focus mechanical!CAD!Computer!robotics!mechatronics5 !German language 
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of Dundee;2011;Engelsk;4;9;7;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10140;Obstetrikk og Gynekologi!Pediatri!Dermatologi og Geriatri
IVT-IMT - Institutt for marin teknikk;North America;USA;U.C.Berkeley;2012;Engelsk;9;6;8;2;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10144;ME280A Introduction to Finite Element!ME241A Marine Hydrodynamics 1!E117 Methods of Engineering Analysis!ME224 Mechanical Behaviour of Engineering Materials!E201 Ocean Engineering Seminar!CEE222 Finite Element Method!ME240A Advanced Marine Structures 1
SVT-PLU - Program for lærerutdanning;Europe;Spania;Ceu San Pablo Uiversity;2011;Spansk;8;10;7;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10147;Medisinsk og kirurgisk praksis.
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Østerrike;FHV;2011;Engelsk;7;8;9;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10148;Culture and Communication: German 2!Focus Mechanical Engineering!Computer Applications!Robotics and Assembly Technologies!Engineering Design / CAD!Production Management!Mechatronics Project 5!Critical Thinking 
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Østerrike;Fhv, Vorarlberg University Of Applied Sciences;2011;Engelsk;8;7;10;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10149;Culture and Communication: German 2!Focus Mechanical Engineering!Computer Applications!Robotics and assembly technologies!Engineering Design / CAD!Mechatronics Project 5
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of Greenwich;2001;Engelsk;6;7;6;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=1015;Art!Design and Technology, graphics.!Design and Technology, Primary school level. !English litterature, engaging with texts.!Childhoodstudies, early years. !Guitar course. 
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Tsjekkia;VSE;2011;Engelsk;6;9;6;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10153;people managment!financial strategies!international managment!multicultural europe!business negotiation!international cummunication
SVT-IOT - Institutt for industriell økonomi og teknologiledelse;Europe;Italia;University Of Bologna;2011;Engelsk;9;7;6;8;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10155;USA and Europe in the 20th century !European Union !Visual sociology
HF-IM - Institutt for musikk;Europe;Frankrike;Conservatoire National Supérior De Musique Et Danse;2011;Fransk;2;6;7;1;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10156;Ensemble!Improvisaton Generativ!Trommer!Rhythm section!Ecriture Experimental!Fransk
SVT-PSY - Psykologisk institutt;Europe;Spania;Universidad De Valencia;2012;Spansk;4;8;6;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10157;Psicología Social I!Psicología Social II!Psicología Social de los Grupos!Ciclo Vital I!Ciclo Vital II!Psicopatología Infantil!Psicología Comunitaria!EspañolB1 
AB-BKFF - Institutt for byggekunst, form og farge;Europe;Storbritannia;University Of East London;2011;Engelsk;7;10;10;9;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10159;Managing transformation and people!Managing operational risk
IVT-IPD - Institutt for produktdesign;Europe;Spania;Universidad Politecnica De Valencia ;2012;Ukjent;6;8;6;3;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10161;European Project Semester!Diseño grafico y comunicacion
NT-IMTE - Institutt for materialteknologi;Oceania;Australia;University Of New South Wales;2012;Engelsk;7;9;5;10;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10163;Corrosion !Mechanics of Fracture !Deformation and strengthening mechanisms!Mechanics of Biomaterials!Life Cycle Assessment!Materials Characterisation!Advanced Nanomaterials
HF-IM - Institutt for musikk;North America;USA;Harvard University;2012;Engelsk;9;8;6;6;https://www.ntnu.no/studier/studier_i_utlandet/rapport/report.php?recordid=10164;HBS1286 Strategy and Technology!AM101 Introduction to Statistical Interference for Scientists and Engineers!CS182 Intelligent Machines: Reasoning, Actions and Plans!CS186 Economics and Computations!CS171 Visualization!CS179 Design of Usable Interactive Interfaces!AM121 Introduction to Optimization: Models and Methods!AM107 Graph Theory and Combinatorics
